"ID_REF"	"GSM7111530"	"GSM7111531"	"GSM7111532"	"GSM7111533"	"GSM7111534"	"GSM7111535"
"TC1000001809.mm.2"	87.24436	81.13005	75.76345	78.654594	91.44948	77.15173
"TC1000001810.mm.2"	80.68486	59.524807	72.06712	55.842117	64.61789	68.12474
"TC1000001813.mm.2"	3874.3506	2457.6787	3429.4468	5708.64	4365.0474	4017.6377
"TC1000001821.mm.2"	111.83203	126.41027	126.43906	101.52679	115.96636	104.53563
"TC1000001822.mm.2"	377.75122	466.23175	444.5958	372.3176	408.43173	401.50122
"TC1000001830.mm.2"	130.12927	145.30638	168.19566	133.54636	132.22522	159.60814
"TC1000001839.mm.2"	40.463165	41.495327	46.284367	35.276253	33.639923	37.605183
"TC1000001840.mm.2"	83.74222	87.54049	80.834206	76.46245	73.073555	63.99704
"TC1000001850.mm.2"	42.53925	52.675056	51.374023	47.349228	51.01141	43.37408
"TC1000001851.mm.2"	167.18803	204.66142	199.93765	217.57341	150.7692	151.2867
"TC1000001863.mm.2"	517.538	501.05872	583.3185	719.57733	719.34906	737.0592
"TC1000001866.mm.2"	95.40198	76.11949	81.98117	79.651596	87.80424	89.357315
"TC1000001868.mm.2"	7026.09	8361.172	6853.577	5741.516	6670.8604	5879.3833
"TC1000001881.mm.2"	93612.15	96427.41	89737.69	92207.445	86041.9	101532.24
"TC1000001882.mm.2"	121.82469	142.48167	120.202866	103.38292	113.41211	90.087
"TC1000001883.mm.2"	41.962658	42.44274	44.876057	40.148582	36.37082	38.098812
"TC1000001884.mm.2"	39.79393	43.864452	44.05109	50.456963	61.87842	49.985935
"TC1000001885.mm.2"	33.942616	44.597557	48.329	41.63803	37.456738	41.00087
"TC1000001886.mm.2"	34.868103	34.87681	36.452103	34.30144	37.64897	38.747326
"TC1000001894.mm.2"	83.2661	89.30148	107.67178	93.88437	107.36077	86.669205
"TC1000001895.mm.2"	85.233444	70.31064	88.04309	70.38221	76.25288	77.224594
"TC1000001897.mm.2"	63.76793	62.101116	59.03067	74.09323	73.50662	73.1336
"TC1000001901.mm.2"	927.5865	1149.3413	925.24286	613.9621	921.673	888.43427
"TC1000001905.mm.2"	74.539536	68.73875	62.823887	49.923176	70.875	48.02032
"TC1000001911.mm.2"	72.376564	97.42333	90.550545	106.621765	104.08815	87.78692
"TC1000001913.mm.2"	810.71857	648.7219	723.4549	1047.8188	815.5389	1083.1215
"TC1000001919.mm.2"	59.4188	61.25771	59.94257	103.68638	91.57927	99.20303
"TC1000001930.mm.2"	29.113838	36.996826	31.93443	33.55616	40.194817	33.741936
"TC1000001931.mm.2"	52.33281	41.678097	52.939373	45.30807	45.67165	51.57674
"TC1000001934.mm.2"	651.60016	690.2773	666.2329	613.8225	759.07874	731.7951
"TC1000001936.mm.2"	948.2809	753.03986	578.76086	47.328716	39.44314	35.736008
"TC1000001941.mm.2"	448.14603	512.80615	482.0115	360.52408	373.4448	452.86554
"TC1000001944.mm.2"	184.33302	201.33868	190.70668	182.79279	221.5509	224.89957
"TC1000001946.mm.2"	885.3206	631.01807	704.9794	754.37366	890.92194	746.25446
"TC1000001947.mm.2"	379.99878	439.48837	414.0953	342.1888	356.62683	305.2118
"TC1000001949.mm.2"	72.508224	75.63573	53.341885	57.47843	84.90768	57.57742
"TC1000001955.mm.2"	848.2972	792.0847	908.8239	844.03107	663.50885	792.2947
"TC1000001957.mm.2"	1030.7076	1198.8315	1037.8906	787.81323	869.3498	1146.6936
"TC1000001962.mm.2"	545.0873	587.75415	630.49854	592.10925	531.7427	753.243
"TC1000001967.mm.2"	73.117065	82.27553	62.535656	74.1287	74.19039	68.56888
